name,state,stars,category
Golden China Restaurant,AZ,3.5,Chinese
Yakuza,MO,3.0,Japanese
Aman's Indian Bistro,PA,4.5,Indian
Wasabi2,PA,4.5,Thai
YO! Sushi,FL,4.0,Japanese
Mood Cafe,PA,4.5,Indian
China One,IN,4.0,Chinese
Tandoor & Tikka,IN,3.5,Indian
Chinese Delight,PA,3.0,Chinese
Southgate,PA,4.0,Korean
New Golden Buffet,PA,2.5,Chinese
Blueplate,NJ,4.0,Vietnamese
New Hong Kong Chinese Restaurant,FL,2.5,Chinese
Ichicoro Ane,FL,4.0,Japanese
Chinese Express,MO,4.0,Chinese
Toyama Japanese Steak House,TN,3.0,Korean
China Wok,FL,3.5,Chinese
China Spring,TN,3.5,Chinese
Nom Nom Japanese Kitchen,PA,4.5,Japanese
Thai Phooket Smyrna,TN,4.0,Vietnamese
Kobe Japanese Steakhouse,FL,4.5,Japanese
Gu Wei Noodles & Grill,FL,4.5,Chinese
Sachiko Sushi,AZ,3.5,Japanese
Spice Kitchen,PA,3.0,Indian
Kampai Sushi Bar,MO,4.0,Japanese
Spot House Restaurant and Bar,MO,4.5,Vietnamese
Bhann Thai,MO,3.0,Thai
Izumi,PA,4.0,Japanese
Yama Japanese Restaurant,NJ,3.0,Japanese
Mandalay Asian Cuisine,MO,3.0,Chinese
Eden Korean Restaurant,NJ,4.5,Korean
Guo Bin Chinese Restaurant,MO,3.5,Chinese
P.F. Chang's,TN,2.5,Chinese
RuSan's Sushi and Seafood,TN,3.0,Japanese
King House Chinese Restaurant,PA,3.5,Chinese
Jaipur Indian Cuisine,PA,3.0,Indian
5 Star India,MO,4.0,Indian
Super China Chinese Restaurant,FL,4.0,Chinese
The 81 Hong Kong Cafe,AZ,4.0,Chinese
Spice Grill,PA,3.5,Chinese
Han Dynasty,PA,4.0,Chinese
Hakka Beef House,PA,4.5,Chinese
Wei Hong Bakery & Restaurant,MO,4.0,Chinese
Lan Zhou Lamen,FL,4.0,Chinese
Thai 5 Fast Food,FL,4.0,Thai
Samurai Japanese Restaurant,PA,3.5,Japanese
Bamboo Oriental Cuisine,TN,3.5,Thai
Bamboo House of Noodle Soups,PA,4.0,Vietnamese
Ooka Restaurant,PA,4.0,Japanese
Rice Box,TN,4.0,Thai
Bamboo House,IN,2.5,Thai
Thai Fusion,IN,4.0,Thai
Panda Express,NV,2.5,Chinese
Taste of China,IN,4.0,Chinese
New Bamboo Garden,NJ,4.0,Chinese
Dragon House,PA,4.0,Chinese
Hirois Ocean Grill,FL,4.0,Japanese
Pho Nam Giang,PA,4.5,Vietnamese
Godavari,TN,3.5,Indian
Toki Sushi,FL,4.0,Japanese
China Garden Restaurant,PA,3.0,Chinese
Queen Sushi,PA,3.5,Chinese
Panda Express,AZ,1.5,Chinese
Lucky Wok Restaurant,PA,2.5,Chinese
Tokyo,FL,3.5,Chinese
Jasmine Thai,FL,4.0,Thai
Eggroll Queen Cafe,PA,4.0,Vietnamese
Su’s Bowl,CA,3.5,Chinese
Thai Thanee,PA,4.0,Thai
Kokoro Ramen,NJ,4.5,Japanese
Kien Giang,TN,3.5,Vietnamese
Kuchi Sushi & Hibachi,FL,4.0,Japanese
China Bowl & State Street Cafe,CA,2.0,Chinese
Vientiane Café,PA,4.0,Vietnamese
Wow Bao,NV,2.0,Chinese
China Star,FL,3.0,Chinese
66 Q-pot,FL,4.0,Korean
Li Chinese Reaturant,IL,3.0,Chinese
Sushi Minato,NV,4.0,Japanese
Yama-Taiyo Japanese Cuisine & Sushi Bar,FL,4.0,Japanese
Sakura Japanese Restaurant,DE,4.0,Japanese
Phamous Cafe,CA,4.0,Vietnamese
LJ Thai Sushi,TN,5.0,Thai
Gachi Sushi and Noodle,PA,4.0,Japanese
Susanna Foo Chinese Cuisine,PA,3.5,Chinese
Naked Fish,TN,3.5,Japanese
Aloha Japanese Steakhouse,NV,2.0,Japanese
Pho 36,IN,4.5,Vietnamese
Asian Cafe,PA,3.5,Japanese
Jades Chopstick,ID,2.5,Chinese
Wok On the Wild Side,CA,2.0,Chinese
Kei Sushi,NV,4.0,Japanese
Panda Express,MO,3.5,Chinese
Maru Global,PA,3.5,Japanese
Old St Louis Chop Suey,MO,4.0,Chinese
Haveli Indian Cuisine,FL,3.5,Indian
Sushi Nara,AZ,4.5,Japanese
Ichiban Buffet,NJ,2.5,Chinese
Aoki Japanese Restaurant,PA,3.0,Japanese
Simply Thai Restaurant,MO,4.0,Thai
Baguette Deli,ID,4.0,Vietnamese
China Spring,TN,3.0,Chinese
China King,PA,3.5,Chinese
Empress Garden,PA,4.0,Chinese
Emoji Sushi & Teriyaki,PA,5.0,Japanese
The Fat ChickeN,PA,4.5,Japanese
Chinese Restaurant,PA,4.5,Chinese
Imperial Asian Buffet,FL,3.0,Chinese
Pho Cuong,FL,2.5,Vietnamese
Village China Wok Buffet,MO,2.0,Chinese
Hong Kong Star Noodle House,PA,3.5,Chinese
Red Pepper Chinese Food Express,CA,3.5,Chinese
Kurry Shack,PA,3.5,Indian
Kung Fu Noodle,AZ,4.0,Chinese
Dragon City,FL,2.5,Chinese
Sen Thai Asian Bistro,MO,4.0,Thai
Samurai Sushi,TN,4.0,Japanese
Perfect Taste,MO,4.0,Chinese
Swagruha Indian Cuisine,MO,2.5,Indian
Asahi Sushi & Asian Grill,LA,4.0,Japanese
Panda Express,IN,2.0,Chinese
Ho-Ho Chinese Restaurant,MO,3.0,Chinese
Aroma Grill and Bar,PA,3.0,Indian
Ithai & Sushi Restaurant,FL,4.0,Thai
Meun Fan Thai Cafe,CA,3.5,Thai
Meun Fan Thai Cafe,CA,4.0,Thai
Number One China Buffet,IN,3.0,Chinese
Wang Cai,IN,3.5,Chinese
Ekta Indian Cuisine,PA,4.0,Indian
Turmeric Indian Cuisine,LA,4.5,Indian
Land of Smile,MO,3.5,Thai
Kind Grinds,FL,4.5,Korean
Makiman Sushi,PA,3.5,Japanese
Le's Vietnamese & Seafood,LA,4.0,Vietnamese
Hachi,PA,4.5,Japanese
Rice King,IN,3.5,Chinese
Famous Wok,TN,3.0,Chinese
Tomo Sushi & Ramen,PA,4.5,Japanese
Megu Sushi & Hibachi,NJ,3.5,Japanese
Asian Star,PA,3.0,Thai
Siam Thai Restaurant,ID,3.0,Thai
Pho Cam Ly,LA,4.5,Vietnamese
India Sizzling II,IN,4.0,Indian
Asian Cafe,PA,3.0,Chinese
Spice-n-Grill,MO,4.5,Indian
Asian Pho,NV,3.5,Vietnamese
K&T Deli,IN,4.0,Vietnamese
Asian Chef Fusion Cuisine,NJ,4.0,Thai
Desi Spice,PA,4.5,Indian
India House,CA,2.0,Indian
Flavor of India,MO,4.0,Indian
Wow Bao,IN,2.5,Chinese
HITEA,MO,4.0,Chinese
Hai Street Kitchen & Co,PA,3.5,Japanese
Chopstix,FL,3.0,Chinese
Dae Jang Geum,PA,4.0,Korean
Aroma Indian Bistro,NJ,4.5,Indian
Mint Modern Vietnamese Bistro & Bar,LA,4.0,Vietnamese
Akira Hibachi & Sushi Bar,FL,4.0,Japanese
China Moon,TN,3.0,Chinese
Panasian Buffet,PA,3.5,Chinese
Aroy Thai,IL,3.5,Thai
Sip of Saigon,NV,5.0,Vietnamese
Son Seafood,LA,4.5,Chinese
China King,FL,3.0,Chinese
Dong's China Buffet,IN,3.5,Chinese
Kaisen Sushi,FL,4.0,Japanese
Soho Japanese Restaurant,PA,5.0,Japanese
China Wok,PA,3.5,Chinese
Shere-E-Punjab,PA,4.0,Indian
Peking Gourmet,PA,3.5,Chinese
Hong Kong Express,MO,3.0,Chinese
Tokyo Japanese Restaurant,PA,4.0,Japanese
Zushi Dozo,NJ,4.0,Japanese
WANG'S TABLE,NV,4.5,Chinese
China Star,PA,3.0,Chinese
Siam Cafe,TN,4.0,Thai
Pho An Hoa Restaurant,FL,4.0,Vietnamese
Classic Asia,NJ,4.5,Chinese
Dragon House Chinese Eatery,IN,3.0,Chinese
Kawa Japanese Cuisine,PA,4.5,Japanese
Guilin Chinese,AZ,3.5,Chinese
Oriental Kitchen,PA,2.5,Chinese
Gin Korean BBQ,LA,3.5,Korean
Katsumi's Teaching Kitchen,IN,5.0,Japanese
Oh Yoko!,NJ,4.0,Japanese
The Palace of Indian,PA,4.0,Indian
P.F. Chang's,PA,3.0,Vietnamese
Pho Hoa Noodle Soup,PA,3.5,Vietnamese
Tiffin-Etc,PA,3.0,Indian
China Sea,FL,3.0,Chinese
Kurry Xpress,FL,4.0,Indian
Asian Kitchen,FL,4.0,Chinese
Sushi-Haru,FL,3.5,Japanese
Seasons Cafe & Bakery,FL,4.0,Vietnamese
Rasavat,PA,5.0,Indian
Green Herb Thai Cuisine,PA,4.0,Thai
Coco Thai Bistro,PA,4.0,Thai
Erawan Thai Cuisine,PA,3.5,Thai
Aloha Poke Bowl,NJ,4.0,Japanese
Izakaya Ren,MO,4.0,Korean
Bab Café - Reno,NV,4.5,Korean
RamaPong,ID,4.0,Japanese
Kauboi Izakaya,NV,4.0,Japanese
Veekoo,PA,4.0,Chinese
Makoto Japanese Steakhouse,TN,4.0,Japanese
Nirvana Fusion,PA,4.0,Indian
Cate Zone Chinese Cafe,MO,4.5,Chinese
Jay's Favorite Sushi Bar,PA,3.5,Japanese
Le Saigon,PA,3.0,Vietnamese
Rangoli: Vibrant Flavors of India,PA,4.0,Indian
Aziatisch,PA,4.0,Thai
Sushiya Express,CA,3.5,Korean
Chinese Express,MO,3.5,Chinese
Nooddi Thai Chef,PA,3.5,Thai
Jasmine Rice - Rittenhouse,PA,3.5,Thai
Momo Ramen + Poke,LA,3.0,Japanese
Ratchada Thai Restaurant and Sushi Bar,FL,2.5,Thai
Hibachi 2 Go,PA,3.5,Japanese
Dingho,MO,3.5,Chinese
China Wok,NJ,3.0,Chinese
Sushi Ushi,FL,4.5,Japanese
Tokyo Mandarin,NJ,3.5,Chinese
Ruchi Indian Cuisine,MO,3.0,Indian
Cily Chicken Rice,PA,4.5,Thai
Nam Viet Vietnamese Cuisine,FL,4.0,Vietnamese
Cheu Noodle Bar,PA,4.0,Korean
Samosa Vegetarian,PA,4.5,Indian
Szechuan Hill Chinese Restaurant,PA,3.5,Chinese
Super China Buffet,IN,3.5,Chinese
Saigon Restaurant,IN,4.0,Vietnamese
KASUMI SUSHI,PA,4.0,Japanese
Thai Place Restaurant,PA,4.5,Thai
Sushi Zen,FL,2.5,Korean
Sarku Japan,IN,3.5,Japanese
Zaika,PA,4.0,Indian
Chilispot,MO,4.5,Chinese
E Sushi Odessa,FL,4.0,Japanese
Baan Thai,ID,3.5,Thai
Vientiane Bistro,PA,4.5,Thai
Dosa Hut & Chaat House,PA,3.5,Indian
Shere-E-Punjab,PA,4.0,Indian
Thai 5 Fast Food,FL,4.0,Thai
New Kimono Sushi Bar Japanese & Chinese Restaurant,PA,3.0,Chinese
Star Wok,LA,3.5,Chinese
Panda Express,IN,3.0,Chinese
Joto Thai-Sushi Clearwater,FL,3.5,Thai
Happy Wok,IN,4.0,Chinese
Hunan Garden,PA,4.5,Chinese
Bullard Seafood and Grill,LA,3.5,Chinese
Adda - Indian Grill,DE,2.5,Indian
India's Grill Brandon - Authentic Indian Cuisine,FL,4.5,Indian
China House,FL,2.5,Chinese
New China,MO,4.0,Chinese
Chinese Duck House,NV,3.5,Chinese
Szechuan Mandarin Chinese Restaurant,PA,3.5,Chinese
Minato Noodles,NV,4.0,Korean
Inchin's Bamboo Garden,TN,4.0,Indian
Mr Wok,NJ,2.0,Chinese
Spice Kitchen,PA,3.5,Indian
iPho Vietnamese Restaurant,PA,3.5,Vietnamese
Basil India,MO,4.5,Indian
Kabob House,ID,4.5,Indian
New King Wok,PA,3.0,Chinese
Fulin's Asian Cuisine,TN,3.0,Thai
Old Standard Fried Chicken,MO,3.0,Chinese
Basil Spice Thai Cuisine,MO,3.0,Thai
Double Dragon III,LA,3.5,Vietnamese
Far East Chinese Restaurant,FL,4.5,Chinese
Wasabi Sushi,ID,4.0,Japanese
So Korean Grill,PA,4.5,Korean
Szechuan Lei Lei,PA,3.5,Chinese
Siamese Princess,PA,4.0,Thai
Naan Boti & Chai Shai,FL,4.0,Indian
Spice Thai Cuisine,PA,4.0,Thai
Bai Wei,PA,4.0,Chinese
Meng Ting Chinese Restaurant,LA,2.5,Chinese
Sam's Sushi Bar,TN,3.5,Japanese
Green Basil Thai Kitchen,PA,4.0,Thai
Mei's World Pizza,FL,4.5,Chinese
Thai Cuisine,FL,4.0,Thai
Park Salad Bar,PA,3.5,Chinese
Sakura,LA,2.0,Japanese
Teriyaki Japan,IN,3.0,Japanese
Tsunami Sushi & Hibachi Grill,FL,4.0,Korean
Thai Delight,FL,4.0,Thai
Cucina Zapata,PA,4.5,Thai
Saigon Corner,FL,4.0,Vietnamese
Rearn Thai,MO,2.5,Thai
Win Golden Wok,NJ,3.5,Chinese
China Gate Take Out Restaurant,FL,2.5,Chinese
Masala Kitchen,DE,4.5,Indian
Saigon Bowl,FL,4.5,Vietnamese
Lucky Belly,TN,3.5,Japanese
Eat-well Food Mart,LA,4.5,Vietnamese
Umi Japanese Restaurant,TN,4.5,Japanese
Pei Wei,NJ,3.5,Chinese
Han Dynasty,NJ,4.0,Chinese
Spice of India,MO,3.5,Indian
Mandarin Garden,PA,4.0,Chinese
Ming's Wok,IN,2.5,Chinese
Panda Cafe,LA,3.0,Chinese
Sushi Tyme,CA,3.5,Japanese
Shing Kee,PA,4.0,Chinese
China Gate Restaurant,FL,3.0,Chinese
Lilly's Cafe,LA,4.5,Vietnamese
DK Sushi,PA,3.5,Japanese
Orchids Thai Restaurant,FL,4.5,Thai
Fortune Chinese Restaurant,PA,3.5,Chinese
Mela Indian Restaurant,IN,4.5,Indian
Hon's Wok,MO,2.5,Chinese
Saki Endless Sushi & Hibachi Eatery,FL,3.5,Japanese
Mizu Asian Bistro,PA,4.5,Thai
Singha Song Thai,LA,3.5,Thai
Thai Orchid,PA,4.0,Thai
Hing San,PA,3.5,Chinese
August Moon Chinese Restaurant,LA,3.0,Vietnamese
India Café,IN,4.5,Indian
Little Kitchen,PA,2.5,Thai
Yoshinoya,CA,3.0,Japanese
Zaikka Indian Grill,DE,3.5,Indian
Poseidon Asian Cuisine,PA,4.5,Chinese
"Tin's House, Thai Cuisine & Sushi",IN,4.5,Thai
Buzzs Hawaiian Grill,MO,3.5,Japanese
Pho Mai Asian Kitchen,FL,3.5,Vietnamese
Pineapple Asian Restaurant,NJ,4.0,Chinese
Sakana Sushi Bar & Japanese,CA,4.0,Japanese
Asian Harbor,IN,3.5,Chinese
New China Moon,NJ,4.0,Chinese
Golden Bowl II Chinese Restaurant,PA,4.0,Chinese
Top China Buffet,DE,2.5,Chinese
China Cafe,NJ,4.0,Chinese
Great Shanghai Chinese Restaurant,PA,3.5,Chinese
Thai Legacy Restaurant,FL,4.5,Thai
Wei Asian Cafe,AZ,4.0,Chinese
Thai Taste Restaurant,TN,4.0,Thai
Master Wok,PA,3.5,Chinese
Tandoori Of India,PA,4.0,Indian
Taste of India,NV,3.0,Indian
Side Wok Cafe,IN,4.0,Chinese
Golden Wok,IN,2.5,Chinese
Taste of India,PA,3.0,Indian
JAS Himalayan,PA,3.5,Indian
Tuk Tuk Thai Kitchen,PA,5.0,Thai
Little Thai Cafe,FL,4.0,Thai
Desi Flavors - Tampa,FL,5.0,Indian
Ten For Thai Esane,TN,4.0,Vietnamese
Happy Wok,NJ,2.5,Chinese
Phan's Kitchen,IN,5.0,Vietnamese
Sushi Ai,IL,3.0,Japanese
Ichiban,CA,3.5,Japanese
Jazmine,NV,3.5,Chinese
Tsukemono,CA,4.0,Japanese
China Empire,NV,2.5,Chinese
JH Cafe,LA,4.5,Chinese
Haveli Indian Cuisine,IN,4.0,Indian
Super Wok,TN,3.0,Chinese
Saap Lao Thai Cuisine,DE,4.5,Thai
Singha Thai Cafe,LA,3.5,Thai
Sushipop,LA,3.5,Japanese
Ploy Thai,FL,4.0,Thai
Curries and Chutneys,IN,3.5,Indian
China Chef,FL,3.5,Chinese
China King,IN,3.5,Chinese
Fuji Mountain Japanese Restaurant,PA,4.0,Japanese
Super Wok,PA,3.5,Chinese
Chopstix Asian Dining,AZ,4.5,Thai
Ginza Restaurant,FL,3.5,Japanese
Hoang Tofu,TN,4.5,Vietnamese
Ninki,TN,3.5,Japanese
Tako Japanese Restaurant,PA,4.0,Japanese
China Garden,FL,4.0,Chinese
Chan's Halal Restaurant,PA,3.0,Chinese
"Saint Louis Halal Meat, Grocery & Foods - Baba's Restaurant",MO,4.5,Indian
Trio Breakfast & Lunch,PA,3.0,Chinese
Boiling Pot,LA,4.0,Chinese
China Taste,FL,3.0,Chinese
Asian Garden,PA,3.0,Chinese
Ruby Garden Restaurant,PA,3.0,Chinese
MK's Asian Persuasion,MO,4.0,Thai
O.E.C. Japanese Sushi & Hibachi,FL,4.0,Japanese
Penang,PA,3.5,Thai
The Smiling Elephant,TN,4.0,Thai
Ka'Chi,PA,3.5,Korean
Guru's Indian Cuisine,PA,4.5,Indian
Fresh Express,NV,3.5,Chinese
SF Kitchen,NV,4.5,Vietnamese
Shogun Smyrna,TN,4.0,Japanese
Mayoor Indian Restaurant,FL,4.5,Indian
Desi Village Indian Cuisine,PA,3.0,Indian
Capital Beer,PA,3.5,Chinese
Tenno Japanese Restaurant,TN,3.5,Japanese
Poke Theory SB,CA,4.5,Japanese
Boise Thai Noodle House,ID,4.5,Thai
King's Garden,PA,3.5,Chinese
Stonewell Restaurant,PA,4.0,Korean
Golden House,PA,3.0,Chinese
Kabob & Grill Indian Cuisine,PA,4.5,Indian
Tokyo Japanese Steak House,TN,4.5,Japanese
Nhu Y,PA,4.0,Vietnamese
Numa,PA,4.0,Japanese
Chiang Mai Thai Noodle,IN,4.0,Thai
Joy Luck Chinese Express Grill,MO,3.0,Chinese
Lee How Fook,PA,4.0,Chinese
Song Da,TN,4.0,Chinese
Pho 79,ID,3.0,Vietnamese
Osaka Sushi,FL,4.0,Japanese
Masami Japanese Steakhouse & Sushi Bar,PA,4.0,Japanese
China Max,PA,3.5,Chinese
Yummy Yummy,NJ,4.0,Chinese
Tangs Garden,PA,3.5,Chinese
Pei Wei,LA,2.0,Chinese
Dragon Palace,IL,2.5,Chinese
Lucky China,MO,3.0,Chinese
Pho Voorhees,NJ,4.5,Vietnamese
Chopstick House,TN,4.0,Chinese
Grand China,FL,3.5,Chinese
Golden China Chinese Restaurant,PA,4.0,Chinese
BBQ Chicken,PA,4.5,Korean
China Olive Super Buffet,AZ,2.5,Chinese
Tandoor & Tikka,IN,4.0,Indian
Pittsgrove Deli & Grocery,NJ,4.0,Indian
I Love Salad,IN,4.5,Korean
China Wok,FL,4.0,Chinese
Noodles & Company,MO,4.0,Thai
Panda Express,CA,2.5,Chinese
Sake Cafe of Elmwood,LA,3.0,Japanese
China Kitchen,IN,2.5,Chinese
China Chen Restaurant,FL,3.0,Chinese
Singapore Restaurant & Sushi Bar,NJ,4.0,Chinese
Pineapplez,FL,4.0,Vietnamese
Wishbone,PA,3.5,Thai
King's Island Chinese & Japanese Restaurant,PA,3.5,Chinese
Gateway To India,FL,4.0,Indian
Ninja Sushi Japanese Grill,TN,3.5,Japanese
Anju St. Pete,FL,4.0,Korean
Soy Bistro,TN,4.5,Korean
China Kitchen,NV,3.5,Chinese
Pikpon Thai,NJ,4.5,Thai
Thai Country Cafe,MO,3.5,Thai
Nirvana Indian Bistro,PA,4.5,Indian
Oriental Pearl Restaurant,PA,4.0,Vietnamese
China Kitchen,FL,4.0,Chinese
Yoichi's,CA,4.5,Japanese
LUVI Restaurant,LA,4.5,Chinese
Moy Fong Restaurant,PA,3.5,Chinese
Viet Pho,NV,3.0,Vietnamese
Hong Kong House,PA,2.5,Chinese
Bhan Thai,NJ,4.5,Thai
Boom Buns,PA,4.5,Chinese
No 1 China Chinese Restaurant,NJ,3.5,Chinese
Korea House,MO,3.5,Korean
Indo,MO,4.5,Thai
Palace of Asia,NJ,3.5,Indian
Sunrise 2 Authentic Thai Food,PA,4.5,Thai
Thai House,IL,4.5,Thai
Sakura,NJ,3.0,Chinese
Chaat and Chai,PA,4.0,Indian
Benihana,PA,2.5,Japanese
Ching Asian Bistro,TN,4.0,Chinese
New South Ocean Chinese & Japanese Restaurant,PA,4.0,Thai
Big Bok Choy Bistro,FL,4.0,Chinese
Huong Sizzling Wok,IN,4.0,Korean
Bamboo Bistro,TN,3.0,Vietnamese
Mixx Japanese Cuisine and Noodle Bar,PA,3.0,Japanese
Mongolian Bbq,ID,3.5,Chinese
Thai Cuisine & Cafe,PA,3.0,Thai
Poke Burri,PA,4.5,Japanese
HTAW METTA,IN,5.0,Thai
Soup Dumplings STL,MO,4.0,Chinese
Jade Palace,PA,5.0,Chinese
101 Taiwanese Cuisine,NV,4.0,Chinese
Ozeki Grill & Thai Kitchen,TN,3.5,Thai
China 88,FL,4.0,Chinese
Rock N' Rolls Egg Rolls,PA,4.0,Chinese
Ming's,PA,3.5,Korean
Hong Kong Restaurant,NJ,4.0,Chinese
Bollywood Cafe & Grill,FL,4.5,Indian
Pho 38,NJ,3.5,Vietnamese
Spice Mandarin Cuisine,PA,3.5,Chinese
Tokai Sushi Hibachi Steakhouses,PA,4.0,Japanese
SRS Value Bazaar,PA,3.0,Indian
E Sushi Japanese Grill & Sushi Bar,FL,4.0,Japanese
Deccan Spice,FL,4.0,Indian
Crazy Sushi,PA,4.0,Japanese
Indian Frybread-Manna From Heaven,AZ,4.5,Indian
Amaravati Indian Cuisine,TN,4.5,Indian
Alina Cafe,FL,4.0,Vietnamese
Raijin Ramen,AZ,4.0,Japanese
Sukho Thai,TN,3.5,Thai
Mizu Sushi Bar,MO,3.5,Japanese
Watami Sushi & Hibachi,PA,4.5,Japanese
Top China,FL,3.0,Thai
May Flower Chinese Restaurant,AZ,3.5,Chinese
Cafe Modern Plus Thai&Sushi,FL,4.5,Thai
Wasabi Sushi & Asian Grill,LA,3.5,Japanese
Gourmet Wok,PA,3.5,Chinese
House of China,FL,4.5,Chinese
Pho Street,PA,4.0,Vietnamese
No 1 Chinese Food,NJ,4.0,Chinese
China House,PA,2.5,Chinese
General Tso's House,IN,3.0,Chinese
Kobe Japanese Steakhouse - Tampa,FL,4.0,Japanese
Pagoda Noodle Cafe,PA,3.0,Chinese
T & T Seafood,LA,4.0,Chinese
Bawarchi Indian Restaurant,DE,3.5,Indian
Famous Szechuan Pavilion,MO,4.0,Chinese
Sushi Avenue,FL,4.0,Korean
New Lee's Chinese Restaurant,PA,3.0,Chinese
Rickshaw Sushi,NV,3.5,Japanese
Zen Yai Thai Cuisine,CA,4.0,Thai
Mizu,PA,3.0,Thai
BAMBU,NJ,4.5,Vietnamese
Panda Pavilion of Audubon,PA,4.0,Chinese
Szechuan Asian Cuisine,NJ,3.5,Chinese
Sansom Kabob House,PA,4.0,Indian
Maat Zip,PA,5.0,Korean
Creazian,NV,4.5,Vietnamese
Basil Fusion Bistro,FL,4.0,Vietnamese
A Taste of Thai,ID,3.5,Vietnamese
Thailand Restaurant,FL,4.0,Thai
Pho Mi Rittenhouse,PA,5.0,Vietnamese
New Number One Chinese Restaurant,PA,2.5,Chinese
Mt. Fuji Steak & Sushi,TN,2.5,Japanese
Blue Sea Japanese Restaurant,MO,4.0,Japanese
New Far East Chinese Rest,FL,4.0,Chinese
Seafood Time,AZ,4.0,Chinese
Hong Kong Chinese Restaurant,PA,3.0,Chinese
Fuli Japanese & Chinese Restaurant,PA,3.0,Chinese
Chef Joseph Poon,PA,3.0,Chinese
Shogun Japanese Cuisine,NJ,4.5,Japanese
Sap Sap Lao Cafe,FL,4.5,Thai
Golden China Wok Restaurant,PA,4.5,Chinese
Nadia Thai,PA,4.0,Thai
Midori Sushi,PA,5.0,Japanese
Mayura Indian Restaurant,PA,4.5,Indian
@Ramen,PA,2.5,Japanese
Happy Panda,PA,3.0,Chinese
iLuv Pho,AZ,3.0,Vietnamese
Sarku Japan,FL,3.5,Japanese
Temaki Sushi,PA,3.5,Japanese
Panda Express,AZ,2.5,Chinese
Mr Wok,IN,3.0,Chinese
Great Wall,FL,2.5,Chinese
Sushi Tsu Japanese Steakhouse & Sushi Bar,FL,3.5,Japanese
Bubble Shack,DE,4.5,Vietnamese
Wow Bao,TN,1.5,Chinese
The Queen and I,FL,4.0,Thai
Ken's Seafood Restaurant,PA,3.0,Chinese
New St Louis Wok,MO,2.0,Chinese
Asahi Japanese Sushi,TN,3.5,Japanese
Umami,TN,4.0,Korean
Siam STL,MO,3.0,Japanese
Bobo's Sports Bar,PA,4.5,Korean
Tran's Chinese Food Cart,PA,4.0,Chinese
Magasin Kitchen,LA,4.0,Vietnamese
The Rice House,MO,3.0,Vietnamese
Café Cour,LA,4.5,Vietnamese
To-Yo Japanese Restaurant,PA,4.0,Japanese
Mae's Chinese Restaurant,AZ,4.0,Chinese
Sizzling Lunch,CA,4.5,Japanese
Dragon Garden,PA,3.5,Chinese
Lanna Culinary School and Events Center,NV,4.5,Thai
Bangkokville Thai Cuisine,TN,4.5,Thai
Number One Chinese Restaurant,PA,3.5,Chinese
