business_id,name,city,state,stars,category
aNtKyc2rr-uK5cqzY9TVQQ,Chipotle Mexican Grill,Largo,FL,3.0,Mexican
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,Nashville,TN,4.0,Mexican
Ms5xG8i4p80KSMcF3tt4ug,Sal DeForte's Ristorante,Ewing,NJ,4.0,Italian
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,Nashville,TN,3.0,American
7Du9oW73YcYFmXdtU5aiSg,Kinjo's Japanese Restaurant,Saint Petersburg,FL,3.5,Japanese
CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,Lutz,FL,4.0,American
vPcfJ3rm3NpdqVDod2WxLA,China Pearl,Langhorne,PA,1.5,Thai
ZU6NodDOWaabGkeNpOWdXw,530 Pub & Grill,Clearwater,FL,4.5,American
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,Indianapolis,IN,4.0,Japanese
8c0r7olQSYGcws0bTd3ikw,Zesty Tsunami,New Port Richey,FL,4.0,Hawaiian
wjyUxHxkrvUvCOVqy4g_wg,Oscar's Cafe,Normandy,MO,4.0,American
4IcB3QyMEA85UTWFKh9O9A,Eat Mah Taco @ Pal's Lounge,New Orleans,LA,4.5,American
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,Tucson,AZ,4.0,Italian
uDQgmudYDKiB6n4vwbEeDg,Chrysalis,Franklin,TN,4.5,Italian
v5kwdvmg-J8g-ll0nkc3Sw,The Libertine Liquor Bar,Indianapolis,IN,4.0,American
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,Philadelphia,PA,4.0,Thai
dJfkfBbJz7wi0RgW-ph_Eg,Sake House,Tampa,FL,3.0,Japanese
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,Philadelphia,PA,3.0,American
W57cR9a7XP6RX56MSWHJJA,Las Margaritas,New Orleans,LA,3.5,Mexican
JF7iyI3wA_AKi_iXOKi0Qw,Parlor Suburban Square,Ardmore,PA,3.5,Italian
xa6JYHDgVza7CuenKBJBHw,Taqueria El Sitio,Hermitage,TN,4.5,Mexican
rZw9O5lJ36m_mXeRKE4G9A,La Sponda,Downingtown,PA,4.5,Italian
Pr_Mlt9FqdcW7WCFGJmozA,The Cider Factory,Virginia City,NV,4.5,Italian
-7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,Bala Cynwyd,PA,4.0,Japanese
tuyCmcmm5Q-bc-9zV76xKA,Pho Friendly,Trenton,NJ,4.5,Vietnamese
p184f-Zvf4ToPwLba0VS4A,Misto Diner,Bensalem,PA,3.5,Chinese
f82dhKNiUXsDVPMLqKYiIQ,Sher-e-Punjab,Tucson,AZ,4.0,Indian
FF45pKN_lzqG8Bqk-_HQvw,Go! Gyro! Go!,Saint Louis,MO,4.5,Greek
SRexiuEsx1d9-dZVUsssQA,Brandon Burgers,Brandon,FL,3.5,American
xJyp6RLqNRv3tSu6njPKxQ,World of Beer,Exton,PA,3.0,American
1P_mGUY1PyPq7_ZabrzpBw,Carmine's Steakhouse,Saint Louis,MO,4.0,Italian
XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,Odessa,FL,4.0,Mexican
OfW-VK04qr7b7bPm5QbyLg,Taqueria Feliz,Horsham,PA,3.0,Mexican
0DbIUh_Xuj6H5B_SF0RLCQ,Iguana's Mexican Restaurant,Brownsburg,IN,4.0,Mexican
PCM-vL-vRLJ4HB2OE8Nnbg,Baxter's Saloon & Grill,Malvern,PA,2.5,American
rmHgqdVkLsGN2byesWRo0w,Brewster's Pub,Maple Shade,NJ,3.5,American
VeqkfRUzZAKlQer3npXPdQ,New India's Kitchen,Ballwin,MO,4.0,Indian
dChRGpit9fM_kZK5pafNyA,The Love,Philadelphia,PA,4.0,American
KdkMXzeoqpfNsZd-_axoTQ,emPIEnada,Reno,NV,4.5,American
iBRXLFWD7PeSYDbKsd_JTw,Mai Thai Restaurant,Brandon,FL,4.5,Thai
od6skmfXz9twktEAuJHEmw,Ryan Christopher,Narberth,PA,4.0,American
j9Kaj_6tSeXmVMYCgZithg,Noble Crust,Wesley Chapel,FL,4.5,Italian
4xhGQGdGqU60BIznBjqnuA,California Tacos and Taproom,Isla Vista,CA,4.0,Mexican
Rz0KfP7YAZV_yQE8uIB0fg,El Sabor Boricua,Tampa,FL,5.0,American
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,Philadelphia,PA,4.5,Korean
Wt1W6qwCvna1KzIuJRJbwA,Tokyo Mandarin,Glassboro,NJ,4.0,Chinese
bTC3m_GPWBp92Y5TTReyTA,Taco Truck Stl,Saint Louis,MO,2.5,Mexican
wQjhFPMKwN_z85aPEn6V4Q,Thai Tanic,Montgomeryville,PA,3.0,Thai
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,Philadelphia,PA,4.0,American
NpglDX_FUp3ybEzbBp4qhw,Summer Palace Chinese Restaurant,Chesterfield,MO,2.5,Chinese
iEC0VzHM2hQ13wM7c0QwgQ,Metro Diner,Langhorne,PA,3.5,American
D7z_V6E8cxXghSRcHAmUPg,La Bella China Restaurant,Tucson,AZ,4.0,Chinese
JPm93BlP-UHYPqFgK66JUw,Local Links,Haddon Heights,NJ,4.5,American
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Goleta,CA,4.0,Mexican
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,Philadelphia,PA,3.5,French
Dl1alpHSJE4_iB0MGKRLXw,Johnny Rockets,Hazelwood,MO,2.0,American
hsyIDX4x4ndYEvPoJF6_1g,Merendero La Catrachitas,St. Louis,MO,4.5,American
dk9zGFRJD2RXkHqAmFHOOA,Garage Pizza,New Orleans,LA,4.0,American
rR30b1XWbxZFFgLyGbfNAw,BODHI : Craft Bar + Thai Bistro,Indianapolis,IN,4.5,Thai
4QFqi8w3rlZTcc5LXKyPJw,Chris' Pizza Village Pleasant View,View,TN,4.0,Italian
RsTF2skxLcp6qo9FdnA5PA,Pizza Hut,Langhorne,PA,1.5,Italian
uYBx50Yl_Jc-UYwFzudBsQ,Chew Doin Fried Chicken & Ramen,Edwardsville,IL,3.0,Japanese
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,Philadelphia,PA,3.0,American
QZLOM3T6xl7y1Q6zqoqHWg,Freddy's Frozen Custard & Steakburgers,Brookhaven,PA,3.5,American
pJB63RaQpkTIKBhfTsLQQg,Biryani Hut,Noblesville,IN,4.0,Indian
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,Philadelphia,PA,4.0,Indian
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,Philadelphia,PA,4.0,American
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,Philadelphia,PA,4.0,American
dIpTuL2T1L98GQGU17IeSw,The Bricks,Tampa,FL,4.0,American
XRkzSBTroG7kIdI7Z8ic6g,Piccadilly,Metairie,LA,3.0,American
SoJwDKedR7SJh7-G69C38A,Hong Kong Sunny,New Hope,PA,3.0,Chinese
1tLrjXG-I9hkOoZxlbwDqw,Olde Black Horse,Norristown,PA,4.0,American
adATTqggIQX5xxLDISkFTw,Just Churros,Tucson,AZ,5.0,Spanish
pNu5bd9aL3jcJClfdQ86MQ,Momo's Ouzaria Taverna,St Louis,MO,3.5,Greek
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,Isla Vista,CA,3.0,Vietnamese
1EokZOnCDkjv2VtPtplyHw,Reno Downtown Joint,St Petersburg,FL,4.0,American
ZpmSEd9N042IJanBiKlKiQ,Smoke & Thyme,Boise,ID,4.0,American
SwWfW3vBn5QkDE7T3urGAg,Persis Biryani Indian Grill,Mount Juliet,TN,4.5,Indian
W4rgF_1eKzFZiGUOsgbGMA,Amber Indian Restaurant,Carmel,IN,4.0,Indian
yN6jZyG1G1FG_HCZQlJZ1g,City Barbeque,Fishers,IN,4.0,American
jGewGnIYcf9LFBcR8lMC5g,Picasso Restaurant & Bar,Media,PA,3.0,Spanish
-lVTNjVoTMOkD-eT--u0oA,El Rancho Nuevo,Saint Charles,MO,3.5,Mexican
0sr1EyOc6Td1C-962QW88w,La Cucina Italian Eatery,Conshohocken,PA,4.0,Italian
SFKjUQ1gmfwm7cJhMCFmkA,ZigZag Scallop,Hernando Beach,FL,4.0,American
frsWe9bmMOMIBOBNzsCTew,African Palace Bar And Grill,Florissant,MO,4.0,African
xwSWtJcQkzTF6HNm_IMgcg,Rusty's Pizza Parlor,Goleta,CA,2.5,Italian
IbndcMURguByburM72o3SA,State Street Kitchen,Newtown,PA,4.5,Korean
diwwt5QBU3-Thig9SVlsOA,Brew Brothers,Reno,NV,3.5,American
lB6jIOb1UBATmdfot4KJew,Soco's Gyros,Saint Louis,MO,4.0,Greek
cm0bhBDPM3bjBefmEXa3BQ,Nudy's Cafe - Chadds Ford,Chadds Ford,PA,3.5,American
MObScX791gFEwtkoFA9GQg,Creekside Inn,Woodstown,NJ,3.5,American
3c9TiufCFT2yXXj3R08Vwg,Snellgroves Restaurant,Plant City,FL,3.5,American
TJe1ZGe-X0-GjOQd00kKxA,Brixx Craft House,Boise,ID,4.0,American
nHUJCK-Ek_lAVTSyEz9GEQ,Adventure Coast Fun Park,Spring Hill,FL,4.5,American
HCbJPXWXvwN-C7XfmVy3gA,Granite City Food & Brewery,Indianapolis,IN,3.5,American
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,Philadelphia,PA,4.0,Indian
uKEabBQrn0gLzvTppOrKIA,Casita Taqueria,Saint Petersburg,FL,4.5,Mexican
8JEOmVGQffkr6xtn4vvplQ,Pita Kebob,Ruskin,FL,4.0,Greek
rF0xI_3jjlsEKp3N0Z0BuQ,Trattoria Totaro,Conshohocken,PA,4.0,Italian
qma1sGQv7ArUtzuUTQElRg,Katie's Pizza & Pasta Osteria,Town and Country,MO,4.0,Italian
zjQDk4tZyhEroyqtkgvx0g,The Cobblestone Eatery and Drinkery,Lebanon,IL,3.5,Italian
adb1hOYICrJ1Ix8M0sRpbw,Kuzina By Sofia,Cherry Hill,NJ,3.0,Greek
H3JjbID9Zhukpqr9uupHAA,Jackson's Bar & Bistro - Nashville,Nashville,TN,3.0,American
jsQQu9rVerR3OGxIa0hRQQ,Kelly's Taproom,Bryn Mawr,PA,3.0,American
UX3eq0WsVva-cqlVrzyzFg,Cantina Los Tres Hombres,Sparks,NV,3.0,Mexican
Yas-A9Jf07TJCIcgZny04w,China City Restaurant,Saint Petersburg,FL,2.5,Chinese
aSJdDcspNCf-2oNF2E6SJQ,White Castle,Jennings,MO,2.0,American
hDiCHlTXKGUj1Yh4tq223w,Pasquales,Indianapolis,IN,3.0,Italian
GInRkBWvuyJCjFVHYdzkPQ,Licata's Italian Deli,Pottstown,PA,4.5,Italian
18eWJFJbXyR9j_5xfcRLYA,Siam Elephant,Carpinteria,CA,4.5,Thai
PdMXmOWDRHICAx6SLgu1dQ,24,Philadelphia,PA,3.5,Italian
dD2p903p8lU0IgXT3OFluA,Edgehill Cafe,Nashville,TN,3.5,American
6mCsrUp9Vl4iXMbOxWtVjA,Dosa Hut Indian Grill,Nashville,TN,4.0,Indian
71U7MxQEhwitJOm4CQpRwQ,KELP Sushi Joint,Tampa,FL,4.0,Japanese
mYbEGFsRcA0tfUNSYcBJMA,Golden River Restaurant,Riverside,NJ,5.0,American
2DsplH_vy4GCcEnVpn0AbA,Cafe Olivia,Indianapolis,IN,4.5,Italian
sWCCxY1-9B1FGlSVeQvnHg,CD Roma Restaurant,St Petersburg,FL,4.0,Italian
k6NkyANDoAMSNpa9_VD8IQ,Rosa Mezcal,New Orleans,LA,4.0,Mexican
zIDuAuwyaLmNwv4k18mbwA,India Palace,Indianapolis,IN,3.5,Indian
yQhu3LbnB2gQgrquHZ_S6Q,Saladworks,Newtown,PA,3.0,American
Gki1ureeRKqlIkQ-AELDVg,Brugada,Nashville,TN,3.5,Mediterranean
L0-MS0MbQhEWAPLkjCqhpg,O'Shucks Seafood & Grill,Madeira Beach,FL,3.5,Mexican
gI34hM-873fwF1XQ8hOaSg,Joe’s Pizza and Pasta,Godfrey,IL,4.0,Italian
gyUBYwpUO_u0nqZdre4l1g,Shanghai Express,Marlton,NJ,4.0,Chinese
4FaYG9qKDpDyr68bKmaIEw,Capitol Cellars,Boise,ID,4.0,American
rqaIe-61HKlWaGYmVwlw8Q,Petite 4,Boise,ID,4.5,French
pP4q0Mym-qt20nRqTKbzhQ,Morton's The Steakhouse,Philadelphia,PA,3.5,American
7Ct4QuWaY63DkAOXqEiVGA,Hong Kong Chinese Restaurant,Glenolden,PA,3.0,Chinese
YhQAQhG1IkXJH7oLZMbM9w,Del Taco,Sparks,NV,1.5,Mexican
NVpbPRDvfwjb85CJwWE0nQ,China Wok,Huntingdon Valley,PA,4.0,Chinese
LVteL0Rnh2E_yOFCLJUPhg,Double Decker Pizza - Media,Media,PA,4.0,Greek
VS4iEul7Rp4jJGcNcKu4FA,Brew House Pub & Grill,Reno,NV,3.0,American
HjLYCBxJti8V-hsP_yVZ3w,Taj Mahal Homestyle Indian & Pakistani Cuisine,Boise,ID,4.0,Indian
Iuir7lUtx-LMhYtStwyf3Q,Another Broken Egg Cafe,Indianapolis,IN,4.0,American
du_yelFmWOZDEyIAE-jdsQ,Taco Del Mar,New Orleans,LA,2.0,Mexican
nePPSHdai8L7aWmXwOZHEg,Stokehold Restaurant,New Orleans,LA,4.5,American
hfN3l0gJ-XszD1XFGNvA6A,Akira,Collingswood,NJ,3.0,Japanese
vo12FJ4dAdP8Jr4ctFYRkg,Painturo's,Mount Juliet,TN,4.0,Italian
8P7YOM9ThhTvLqXfSWRcRA,Noodles & Company,Creve Coeur,MO,3.5,Italian
I2CxrvM0BGH1svfxqGGD2g,M.L.Rose Craft Beer & Burgers - Melrose,Nashville,TN,3.5,American
IgNDlyLERBwFGphgcC5VDQ,Cosi,Philadelphia,PA,2.5,American
wUEbysNWCtMSQAio6Ktn6Q,Lucianis Pizzeria & GRILL,Fort Washington,PA,3.0,Italian
fVPPZWf5QghlCLYRYec1rg,China Sunrise Restaurant,Tucson,AZ,3.5,Chinese
3swM60bulnut1d4AZti80Q,Rockabilly Grill,Tucson,AZ,3.5,American
4fUok5d5vgdQEb1Bzzg0rA,Olive Garden Italian Restaurant,Kenner,LA,3.5,Italian
bdth7r1brx9yRU7sYwF9jQ,Nippon Tei,Ballwin,MO,4.0,Japanese
a4BzM4nqUzJRqszzEV1fJQ,Italian Style! Italian Restaurant,Franklin,TN,3.5,Italian
5cz1XbgalpQ89gsNQwneVQ,Portofino's Italian Kitchen,Tampa,FL,4.0,Italian
rBE5TT_ndOOczNBrbRnJwA,Dio Modern Mediteranean,Tampa,FL,4.0,Greek
oRZzKWdyMQld6N_y4UWkAg,Terra Sur Cafe,Tampa,FL,4.0,American
biGIDbCGsAZJ-Y4zyV_b_A,Taza Mediterranean Grill,Brandon,FL,4.5,Mediterranean
SSZDGl2J-CEyIzuIbEiYNQ,Caleco's Bar & Grill,Saint Louis,MO,3.0,Italian
_Oksx3ALgKLRVxeAR8l_qA,V-Trap Kitchen and Lounge,Wilmington,DE,5.0,Italian
dUctvEfHQccW_uxtRup2QQ,Tsunami Japanese Steakhouse,Saint Petersburg,FL,3.0,Japanese
kpFgC_cTU2yBPi-G_vFHTA,Thai King,Indianapolis,IN,4.5,Thai
ByTZJsTDDhvOYKCj7uoy4w,Rumours Wine and Art Bar,Nashville,TN,3.0,American
qWZimITbVwNSGJZsuM47-Q,Pho Orchid Uptown,New Orleans,LA,3.5,Vietnamese
L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,Philadelphia,PA,4.0,Japanese
RJPRi1pwocHNZr9ISz_P-A,National Underground,Nashville,TN,2.5,American
micimc15zJloGJaktAHBsQ,Nacho Mama's Mexican Grill,New Orleans,LA,2.5,Mexican
CjkxTRergWcYWb4SVW3gxw,Smokin' Out,Holiday,FL,4.5,American
PfusNFPwZFcJGHgfZMw2RQ,Basically Buttercream Bakery & Cafe,Brownsburg,IN,2.5,American
K5ffo0hkwhG33BDNQrJF6A,Slate Bleu Restaurant,Doylestown,PA,4.0,French
oQYZ3j2H758y07p4RpCWug,August Rhodes Bakery,Tucson,AZ,4.5,American
3Kj0DlqXWTGqi6GUsM0Nfg,El Rancho Mexican Grill,Port Richey,FL,2.5,Mexican
lgu_KwQLd8TX2ewsNIzsjA,K-Bop STL,St Louis,MO,4.5,Korean
H2nFgEFitRk7ltE8IRH0xA,Taco Bell,Tampa,FL,2.5,Mexican
Y2NFeGtConx1qciSPKcRlA,Reginelli's Pizzeria - Closed,New Orleans,LA,3.5,Italian
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,Philadelphia,PA,4.5,American
T9n_LqUUhC2b1ALhg57Y5Q,Texas Roadhouse,Bensalem,PA,4.0,American
4TQMOy00KD_54xSFwKgMZw,Ndulge,Philadelphia,PA,3.5,Thai
n1HOCV74TBVZdQdOUgp9xA,Moe's Southwest Grill,Sicklerville,NJ,2.0,Mexican
Ea2hPSFazxXITET4f6ZJhw,Beef 'O' Brady's,Lutz,FL,3.0,American
C3roKH0ekXBz8l0ZoUIvAA,Roadrunner Coffee Co.,Tucson,AZ,4.0,American
UAi8nZY-tCA758y4_8Meuw,Fullylove’s Restaurant,Tucson,AZ,4.5,American
joeRm-_7T0XTkMdKo2nbaA,Paola's Pizzeria,Wayne,PA,4.5,Italian
_HcAoG6Jj_XTj4-XNEbo6Q,Fuzzy's Taco Shop,Tampa,FL,3.0,Mexican
qUHaTDZlzjPXSvXrLk66mw,Rai Rai Ramen,Mount Laurel Township,NJ,4.5,Japanese
DOl21AqtT74dUZ3kvXNNcA,Golden Triangle,Philadelphia,PA,4.5,Thai
q40E5X_HdjeM_Kl1BE7Gtg,Orchid Thai Foods,Tampa,FL,4.5,Thai
wgcSbX3osqRibWW7pVyfww,Jack in the Box,Tucson,AZ,2.0,Mexican
MKy5T5exCdH4IUVlYPtWkw,El Taco Torro,Indianapolis,IN,3.5,Mexican
lj-E32x9_FA7GmUrBGBEWg,Brio Italian Grille,St Louis,MO,3.5,Italian
4Rz9e2RmP7ErILpcls-n2w,Belle Restaurant,Nashville,TN,3.0,American
QNxXsVPYcecUuhGRG-88OQ,Harvest Bowl Eatery & Market,Tampa,FL,4.0,American
RzGr37s8p2ujVuN9of7ksQ,Panaderia La Conchita,Nashville,TN,4.5,American
isbeaPln-E0DdffLRsuFhw,Francisco's On The River,Washington Crossing,PA,4.0,Mediterranean
5wgoIQXyP3BEPZLiVi1W8A,The Howlin' Wolf,New Orleans,LA,3.5,American
EvZxyqrR2xej3CT14pLa7w,An American Place,Saint Louis,MO,3.0,American
2FOU5-I_eCGVNdr8R5wciQ,Texas Margaritas,Zionsville,IN,4.0,Mexican
i8UZblHPk2O-iNKJrnWQ_Q,Taco Bell,Tucson,AZ,2.5,Mexican
KDIkj7rASjiE1xUnyXALnQ,Ham's Deli,St Charles,MO,4.0,American
hTyJhpH7Bl5moMWQb4Sosg,Island Fin Poké,Tampa,FL,5.0,Hawaiian
IXv-g1iK3Hwsnxp0vT8OgA,Whataburger,Tucson,AZ,2.5,American
7pxE4BFDibv6Q7MBbNOPQA,Los Rancheros,Indianapolis,IN,3.5,Mexican
YdwLZnSDkX0Sk6iXL357kQ,Big Horn Grill,Verdi,NV,4.0,American
EAJOR4zG6_ixBPYgWhp6Jg,Cafe Jasper,Tucson,AZ,3.0,American
5QCLmv-JrdY0ZGc_D5__iw,Wheel Cafe,Dunedin,FL,4.5,American
G9JqaURDTC_pSzji0bytwA,Port St Peter,New Orleans,LA,3.5,American
xPSetcLWfl_3JoENfGf89w,Sauce On The Side,Ballwin,MO,4.0,Italian
kHOXo-IZSpixpctmHsGlyA,The Beach Grill at Padaro,Carpinteria,CA,4.0,American
KeigREOxJtmzmYRg__6FPg,Curry Corner,New Orleans,LA,2.5,Indian
yS0TsUzKBQlHQCZZeBrxww,Tortas El Guero,Indianapolis,IN,4.5,Mexican
QkyEr9j7il9lJqseTbPe5w,Spasso Italian Grill,Media,PA,3.5,Italian
LqaIFNWnwmy3PInuBDpAxg,Amigos Mexican Restaurant,Boise,ID,4.0,Mexican
_v_iFg_1a7nBBJVy8O02HQ,Shogun,Creve Coeur,MO,3.0,Japanese
A_-Vv5oKZNqxsV69_7E2KQ,8th & Union Kitchen,Wilmington,DE,3.5,Vietnamese
N1ZXhAVzOzbyCBPEXTaUUw,Tandoor Authentic Indian Restaurant,Philadelphia,PA,3.5,Indian
8SqvtaRu9likNDAfAU-HBQ,Panda Express,Nashville,TN,3.0,Chinese
CE9wc-UtRIwiyo5i4QO1Og,CACi Wood-Fired Sicilian Grill,Eagle,ID,4.0,Italian
7CBsFEzEny_Ro833RS6Acg,Farmer's Market Deli & Grill,Nashville,TN,3.5,American
vQ3bOb_sq0peWxJx3VoCDw,Jimmy B's Eatery & Pub,Indianapolis,IN,4.0,American
Vf1je11xO_8RtFeBUiV2tg,Golden China Restaurant,Tucson,AZ,3.5,Chinese
Up2hJViJJf61k9V3jFbvzg,Cafe Arnold Neighborhood Grill,Arnold,MO,2.5,American
ryHhnOItSVPJB81Ty0Xb2g,Stonefire Tavern,Largo,FL,4.0,American
SdZvOwgALlSBt8A0DvVkuQ,Reno Tap Room,Reno,NV,4.0,American
jwtz8TmuD6VyfiB7fxOU2w,Eats,Mount Juliet,TN,3.5,American
nVI9wI9ujmrutJRMgHKSIg,Fiesta Maya Mexican Grill,Springfield,PA,4.5,Mexican
uxoQdZD3mEptaPohiLQg1w,Stone House Grille,Kimberton,PA,4.5,American
vVvtWcFResspvcMMNRbYWA,Golden Corral Buffet & Grill,Port Richey,FL,3.0,American
Vj_72qKqpL10ECZfbHDyBw,Firehouse Subs,Indianapolis,IN,3.0,American
_49FsmTfruZSTjxU4OwOsg,Taziki's Mediterranean Cafe - West End,Nashville,TN,3.5,Greek
94comc1YjKMNU-WSH-Fznw,Yakuza,Chesterfield,MO,3.0,Japanese
E9-k8aOCS2sSh9RYxvWU_A,Steppy's Sports Bar & Grill,East Norriton,PA,3.0,Mexican
HJNRlG5nM4Bxy97PmNNaTQ,Aman's Indian Bistro,Harleysville,PA,4.5,Indian
AuTmUY381to83xPwovoERg,Wingstop,Madison,TN,2.5,American
jlkDIOPoRP9SJXTkRVpkMQ,BFF Cafe,Reno,NV,4.0,Greek
KidSvYABnawyuS_3lIYQzQ,Mercy’s Bakery,Lansdale,PA,4.0,Mexican
IS0B5nLJPluVT8NwGgospA,Cheddar's Scratch Kitchen,Fairview Heights,IL,2.5,American
5N5K-B0pA3as6dvl_ha5BQ,Famous Sam's Restaurant & Bar,Tucson,AZ,2.0,American
dERS4qwl9v-Gwft-Ug8APA,West Ave Grille Jenkintown Restaurant and Food Truck ,Jenkintown,PA,4.0,American
jWcVzCpSayMyIPMniHpQjg,Amore Mio,Tampa,FL,4.0,Italian
Xjal8g4PsYinAfeQ8RWf4Q,Wasabi2,West Chester,PA,4.5,Thai
-JStjL-8mRZq4ov4uI1FaQ,Luberto's Brickoven Pizza,Dublin,PA,4.0,Italian
UVpki6wyHLR0mujHcneTfg,My Brother’s Bar,Harahan,LA,4.0,American
v8IbZ6wcvdyGqWpbDKDvfA,YO! Sushi,Tampa,FL,4.0,Japanese
U30ggGzFpXvc2NZYwOW3qg,Mood Cafe,Philadelphia,PA,4.5,Indian
YUlWhx8rq_Pc5yVKrp2awQ,China One,Indianapolis,IN,4.0,Chinese
X64JH5kXOjWsBCsGxmFSIw,Cinco de Mayo,Old Hickory,TN,3.5,Mexican
NKplFLr1UebQxMLQAxALPQ,Tandoor & Tikka,Indianapolis,IN,3.5,Indian
0t14RIHl4wODz7LRiRRQ0Q,Salty Lime Cantina,Palm Harbor,FL,4.5,Mexican
5fvs7pOE6amG17SiPovxjw,Paradise Pizza Cafe,Tampa,FL,2.5,Mediterranean
jLaPtjlLfRSaoBWIcHcSQg,The Mad Crab,University City,MO,3.5,American
Z5LGSHEYjCUtKwjKotCNqA,Chinese Delight,Wayne,PA,3.0,Chinese
VZfc50XVwgdCecH4YbGNFg,EATS! American Grill,Tampa,FL,4.0,American
68ThEdiK0eWCEgGEmV9Tng,Southgate,Philadelphia,PA,4.0,Korean
btycQr2eJqbNbArJdUxMmQ,New Golden Buffet,Phoenixville,PA,2.5,Chinese
VOEN8f9WEysinBsLqbiVqg,Andrea's Restaurant,Metairie,LA,2.5,Italian
3Pjvw7oOjjfH_YuH2vMD5w,Zorba,Temple Terr,FL,3.5,Mediterranean
